_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
12 46 22.4800,+07 53 27.900,J124622.48+075327.9,0.111,19.8,23.4,15.774,1.95,275,3.25,39.97,39.89,8.7,SDSS J124622.48+075327.9,191.59367,7.89108
12 46 47.5200,+54 53 15.000,J124647.52+545315.0,0.085,38.5,32.6,14.974,2.01,268,3.09,40.01,39.79,8.6,SDSS J124647.52+545315.0,191.698,54.8875
12 54 34.9300,-02 34 12.400,J125434.93-023412.4,0.116,122.6,2.0,15.959,1.93,260,3.3,40.8,38.86,8.6,SDSS J125434.93-023412.4,193.64554,-2.57011
12 59 53.3200,+57 51 49.700,J125953.32+575149.7,0.149,15.5,5.5,17.347,1.71,211,3.17,40.14,39.55,8.2,SDSS J125953.32+575149.7,194.97217,57.86381
13 02 03.5800,-00 50 12.300,J130203.58-005012.3,0.085,73.7,30.2,14.964,2.1,243,3.27,40.29,39.76,8.5,SDSS J130203.58-005012.3,195.51492,-0.83675
13 02 48.7000,+47 55 10.600,J130248.70+475510.6,0.141,47.9,20.0,15.563,1.95,301,3.06,40.58,40.05,8.8,SDSS J130248.70+475510.6,195.70292,47.91961
13 06 19.2400,+11 13 39.700,J130619.24+111339.7,0.086,321.0,44.5,14.926,1.72,267,3.04,40.94,39.94,8.6,SDSS J130619.24+111339.7,196.58017,11.22769
13 10 53.4400,-02 28 41.500,J131053.44-022841.5,0.143,53.0,12.7,16.792,2.04,267,2.77,40.64,39.87,8.6,SDSS J131053.44-022841.5,197.72267,-2.47819
13 15 31.0700,+52 54 37.300,J131531.07+525437.3,0.121,37.1,0.5,16.47,2.01,247,3.31,40.33,38.3,8.5,SDSS J131531.07+525437.3,198.87946,52.91036
13 16 13.5400,+09 32 36.700,J131613.54+093236.7,0.094,42.0,23.6,15.558,1.95,293,3.43,40.14,39.74,8.8,SDSS J131613.54+093236.7,199.05642,9.54353
13 20 17.5400,+04 30 37.400,J132017.54+043037.4,0.146,30.5,4.4,15.935,1.81,229,2.59,40.42,39.42,8.4,SDSS J132017.54+043037.4,200.07308,4.51039
13 23 02.4900,+17 28 32.900,J132302.49+172832.9,0.12,38.7,13.9,16.128,1.92,242,3.36,40.34,39.75,8.5,SDSS J132302.49+172832.9,200.76037,17.47581
13 27 36.1300,+27 08 16.800,J132736.13+270816.8,0.143,34.2,11.2,16.081,2.03,267,3.35,40.45,39.82,8.6,SDSS J132736.13+270816.8,201.90054,27.138
